,Название,Линия,lat,long
83,Арбатская,Филёвская линия,55.751666666666665,37.600833333333334
84,Александровский сад,Филёвская линия,55.7525,37.60888888888889
85,Парк культуры,Кольцевая линия,55.73583333333333,37.59138888888889
86,Октябрьская,Кольцевая линия,55.72972222222222,37.60916666666667
87,Добрынинская,Кольцевая линия,55.72916666666667,37.62416666666667
88,Павелецкая,Кольцевая линия,55.73166666666667,37.63777777777778
89,Таганская,Кольцевая линия,55.74166666666667,37.651666666666664
90,Курская,Кольцевая линия,55.75694444444444,37.659444444444446
91,Комсомольская,Кольцевая линия,55.77472222222222,37.655
92,Проспект Мира,Кольцевая линия,55.77972222222222,37.63166666666667
93,Новослободская,Кольцевая линия,55.78,37.60277777777778
94,Белорусская,Кольцевая линия,55.77638888888889,37.58444444444444
95,Краснопресненская,Кольцевая линия,55.76138888888889,37.5775
96,Киевская,Кольцевая линия,55.74472222222222,37.565555555555555
97,Медведково,Калужско-Рижская линия,55.88722222222222,37.66138888888889
98,Бабушкинская,Калужско-Рижская линия,55.86944444444445,37.66444444444444
99,Свиблово,Калужско-Рижская линия,55.85527777777778,37.65277777777778
100,Ботанический сад,Калужско-Рижская линия,55.845,37.638333333333335
101,ВДНХ,Калужско-Рижская линия,55.821111111111115,37.64111111111111
102,Алексеевская,Калужско-Рижская линия,55.80888888888889,37.638888888888886
103,Рижская,Калужско-Рижская линия,55.79361111111111,37.63611111111111
104,Проспект Мира,Калужско-Рижская линия,55.78111111111111,37.63166666666667
105,Сухаревская,Калужско-Рижская линия,55.77333333333333,37.63194444444444
106,Тургеневская,Калужско-Рижская линия,55.76611111111111,37.6375
107,Китай-город,Калужско-Рижская линия,55.75527777777778,37.63333333333333
108,Третьяковская,Калужско-Рижская линия,55.74111111111111,37.6275
109,Октябрьская,Калужско-Рижская линия,55.730555555555554,37.611111111111114
110,Шаболовская,Калужско-Рижская линия,55.719722222222224,37.608333333333334
111,Ленинский проспект,Калужско-Рижская линия,55.70777777777778,37.586111111111116
112,Академическая,Калужско-Рижская линия,55.687777777777775,37.57333333333334
113,Профсоюзная,Калужско-Рижская линия,55.67805555555555,37.562777777777775
114,Новые Черёмушки,Калужско-Рижская линия,55.67027777777778,37.55444444444444
115,Калужская,Калужско-Рижская линия,55.657222222222224,37.54055555555556
116,Беляево,Калужско-Рижская линия,55.64277777777778,37.52583333333333
117,Коньково,Калужско-Рижская линия,55.63333333333333,37.51888888888889
118,Тёплый Стан,Калужско-Рижская линия,55.619166666666665,37.50833333333333
119,Ясенево,Калужско-Рижская линия,55.60638888888889,37.53333333333333
120,Новоясеневская,Калужско-Рижская линия,55.60111111111111,37.55416666666667
121,Планерная,Таганско-Краснопресненская линия,55.86083333333333,37.436388888888885
